Event Count,P2P Jacc,Order Management Jacc
23129,0.0000,0.8933
23159,0.0000,0.8933
23189,0.0000,0.8933
23219,0.0000,0.8933
23249,0.0000,0.8933
23279,0.0000,0.8933
23309,0.0000,0.8933
23339,0.0000,0.8933
23369,0.0000,0.8933
23399,0.0000,0.8933
23429,0.0000,0.8933
23459,0.0000,0.8933
23489,0.0000,0.8933
23519,0.0000,0.8933
23549,0.0000,0.8933
23579,0.0000,0.8933
23609,0.0000,0.8933
23639,0.0000,0.8933
23669,0.0000,0.8933
23699,0.0000,0.8933
23729,0.0000,0.8933
23759,0.0000,0.8933
23789,0.0000,0.8933
23819,0.0000,0.8933
23849,0.0000,0.8933
23879,0.0000,0.8933
23909,0.0000,0.8933
23939,0.0000,0.8933
23969,0.0000,0.8933
23999,0.0000,0.8933
24029,0.0000,0.8933
24059,0.0000,0.8933
24089,0.0000,0.8933
24119,0.0000,0.8933
24149,0.0000,0.8933
24179,0.0000,0.8933
24209,0.0000,0.8933
24239,0.0000,0.8933
24269,0.0000,0.8933
24299,0.0000,0.8933
24329,0.0000,0.8933
24359,0.0000,0.8933
24389,0.0000,0.8933
24419,0.0000,0.8933
24449,0.0000,0.8933
24479,0.0000,0.8933
24509,0.0000,0.8933
24539,0.0000,0.8933
24569,0.0000,0.8933
24599,0.0000,0.8933
24629,0.0000,0.8933
24659,0.0000,0.8933
24689,0.0000,0.8933
24719,0.0000,0.8933
24749,0.0000,0.8933
24779,0.0000,0.8933
24809,0.0000,0.8933
24839,0.0000,0.8933
24869,0.0000,0.8933
24899,0.0000,0.8933
24929,0.0000,0.8933
24959,0.0000,0.8933
24989,0.0000,0.8933
25019,0.0000,0.8933
25049,0.0000,0.8933
25079,0.0000,0.8889
25109,0.0000,0.8889
25139,0.0000,0.8889
25169,0.0000,0.8889
25199,0.0000,0.8889
25229,0.0000,0.8889
25259,0.0000,0.8889
25289,0.0000,0.8889
25319,0.0000,0.8889
25349,0.0000,0.8889
25379,0.0000,0.8578
25409,0.0000,0.8844
25439,0.0000,0.8844
25469,0.0000,0.8844
25499,0.0000,0.8844
25529,0.0000,0.8844
25559,0.0000,0.8800
25589,0.0000,0.8800
25619,0.0000,0.8800
25649,0.0000,0.8844
25679,0.0000,0.8844
25709,0.0000,0.8844
25739,0.0000,0.8844
25769,0.0000,0.8800
25799,0.0000,0.8800
25829,0.0000,0.8800
25859,0.0000,0.8844
25889,0.0000,0.8844
25919,0.0000,0.8844
25949,0.0000,0.8889
25979,0.0000,0.8889
26009,0.0000,0.8889
26039,0.0000,0.8889
26069,0.0000,0.8889
26099,0.0000,0.8933
26129,0.0000,0.8889
26159,0.0000,0.8889
26189,0.0000,0.8889
26219,0.0000,0.8889
26249,0.0000,0.8889
26279,0.0000,0.8889
26309,0.0000,0.8889
26339,0.0000,0.8889
26369,0.0000,0.8889
26399,0.0000,0.8889
26429,0.0000,0.8889
26459,0.0000,0.8889
26489,0.0000,0.8889
